mesec,rata,kamata,glavnica,osiguranje,ukupno,dug
1,300.37,175.0,125.37,180.0,480.37,59874.63
2,300.37,174.63,125.74,179.62,480.0,59748.89
3,300.37,174.27,126.11,179.25,479.62,59622.78
4,300.37,173.9,126.47,178.87,479.24,59496.31
5,300.37,173.53,126.84,178.49,478.86,59369.46
6,300.37,173.16,127.21,178.11,478.48,59242.25
7,300.37,172.79,127.58,177.73,478.1,59114.66
8,300.37,172.42,127.96,177.34,477.72,58986.71
9,300.37,172.04,128.33,176.96,477.33,58858.38
10,300.37,171.67,128.7,176.58,476.95,58729.67
11,300.37,171.29,129.08,176.19,476.56,58600.6
12,300.37,170.92,129.46,175.8,476.18,58471.14
13,300.37,170.54,129.83,175.41,475.79,58341.31
14,300.37,170.16,130.21,175.02,475.4,58211.09
15,300.37,169.78,130.59,174.63,475.01,58080.5
16,300.37,169.4,130.97,174.24,474.62,57949.53
17,300.37,169.02,131.35,173.85,474.22,57818.18
18,300.37,168.64,131.74,173.45,473.83,57686.44
19,300.37,168.25,132.12,173.06,473.43,57554.32
20,300.37,167.87,132.51,172.66,473.04,57421.81
21,300.37,167.48,132.89,172.27,472.64,57288.91
22,300.37,167.09,133.28,171.87,472.24,57155.63
23,300.37,166.7,133.67,171.47,471.84,57021.96
24,300.37,166.31,134.06,171.07,471.44,56887.9
25,300.37,165.92,134.45,170.66,471.04,56753.45
26,300.37,165.53,134.84,170.26,470.63,56618.61
27,300.37,165.14,135.24,169.86,470.23,56483.37
28,300.37,164.74,135.63,169.45,469.82,56347.74
29,300.37,164.35,136.03,169.04,469.42,56211.71
30,300.37,163.95,136.42,168.64,469.01,56075.29
31,300.37,163.55,136.82,168.23,468.6,55938.47
32,300.37,163.15,137.22,167.82,468.19,55801.25
33,300.37,162.75,137.62,167.4,467.78,55663.63
34,300.37,162.35,138.02,166.99,467.37,55525.61
35,300.37,161.95,138.42,166.58,466.95,55387.18
36,300.37,161.55,138.83,166.16,466.54,55248.35
37,300.37,161.14,139.23,165.75,466.12,55109.12
38,300.37,160.73,139.64,165.33,465.7,54969.48
39,300.37,160.33,140.05,164.91,465.28,54829.44
40,300.37,159.92,140.45,164.49,464.86,54688.98
