mesec,rata,kamata,glavnica,osiguranje,ukupno,dug
1,260.98,131.25,129.73,135.0,395.98,44870.27
2,260.98,130.87,130.11,134.61,395.59,44740.16
3,260.98,130.49,130.49,134.22,395.2,44609.67
4,260.98,130.11,130.87,133.83,394.81,44478.8
5,260.98,129.73,131.25,133.44,394.42,44347.55
6,260.98,129.35,131.63,133.04,394.02,44215.91
7,260.98,128.96,132.02,132.65,393.63,44083.89
8,260.98,128.58,132.4,132.25,393.23,43951.49
9,260.98,128.19,132.79,131.85,392.84,43818.7
10,260.98,127.8,133.18,131.46,392.44,43685.52
11,260.98,127.42,133.57,131.06,392.04,43551.96
12,260.98,127.03,133.96,130.66,391.64,43418.0
13,260.98,126.64,134.35,130.25,391.24,43283.65
14,260.98,126.24,134.74,129.85,390.83,43148.92
15,260.98,125.85,135.13,129.45,390.43,43013.78
16,260.98,125.46,135.53,129.04,390.02,42878.26
17,260.98,125.06,135.92,128.63,389.62,42742.34
18,260.98,124.67,136.32,128.23,389.21,42606.02
19,260.98,124.27,136.71,127.82,388.8,42469.31
20,260.98,123.87,137.11,127.41,388.39,42332.2
21,260.98,123.47,137.51,127.0,387.98,42194.68
22,260.98,123.07,137.91,126.58,387.57,42056.77
23,260.98,122.67,138.32,126.17,387.15,41918.45
24,260.98,122.26,138.72,125.76,386.74,41779.73
25,260.98,121.86,139.12,125.34,386.32,41640.61
26,260.98,121.45,139.53,124.92,385.9,41501.08
27,260.98,121.04,139.94,124.5,385.49,41361.14
28,260.98,120.64,140.35,124.08,385.07,41220.8
29,260.98,120.23,140.75,123.66,384.64,41080.04
30,260.98,119.82,141.17,123.24,384.22,40938.88
31,260.98,119.41,141.58,122.82,383.8,40797.3
32,260.98,118.99,141.99,122.39,383.37,40655.31
33,260.98,118.58,142.4,121.97,382.95,40512.91
34,260.98,118.16,142.82,121.54,382.52,40370.09
35,260.98,117.75,143.24,121.11,382.09,40226.85
36,260.98,117.33,143.65,120.68,381.66,40083.2
37,260.98,116.91,144.07,120.25,381.23,39939.12
38,260.98,116.49,144.49,119.82,380.8,39794.63
39,260.98,116.07,144.91,119.38,380.37,39649.72
40,260.98,115.65,145.34,118.95,379.93,39504.38
41,260.98,115.22,145.76,118.51,379.5,39358.62
42,260.98,114.8,146.19,118.08,379.06,39212.43
43,260.98,114.37,146.61,117.64,378.62,39065.82
44,260.98,113.94,147.04,117.2,378.18,38918.78
45,260.98,113.51,147.47,116.76,377.74,38771.31
46,260.98,113.08,147.9,116.31,377.3,38623.41
47,260.98,112.65,148.33,115.87,376.85,38475.08
48,260.98,112.22,148.76,115.43,376.41,38326.32
49,260.98,111.79,149.2,114.98,375.96,38177.12
50,260.98,111.35,149.63,114.53,375.51,38027.49
51,260.98,110.91,150.07,114.08,375.06,37877.42
52,260.98,110.48,150.51,113.63,374.61,37726.92
53,260.98,110.04,150.95,113.18,374.16,37575.97
54,260.98,109.6,151.39,112.73,373.71,37424.59
55,260.98,109.16,151.83,112.27,373.26,37272.76
56,260.98,108.71,152.27,111.82,372.8,37120.49
57,260.98,108.27,152.71,111.36,372.34,36967.78
58,260.98,107.82,153.16,110.9,371.89,36814.62
59,260.98,107.38,153.61,110.44,371.43,36661.01
60,260.98,106.93,154.05,109.98,370.96,36506.96
61,260.98,106.48,154.5,109.52,370.5,36352.46
62,260.98,106.03,154.95,109.06,370.04,36197.5
63,260.98,105.58,155.41,108.59,369.57,36042.1
64,260.98,105.12,155.86,108.13,369.11,35886.24
65,260.98,104.67,156.31,107.66,368.64,35729.92
66,260.98,104.21,156.77,107.19,368.17,35573.15
67,260.98,103.76,157.23,106.72,367.7,35415.93
68,260.98,103.3,157.69,106.25,367.23,35258.24
69,260.98,102.84,158.15,105.77,366.76,35100.1
70,260.98,102.38,158.61,105.3,366.28,34941.49
71,260.98,101.91,159.07,104.82,365.81,34782.42
72,260.98,101.45,159.53,104.35,365.33,34622.89
73,260.98,100.98,160.0,103.87,364.85,34462.89
74,260.98,100.52,160.47,103.39,364.37,34302.42
75,260.98,100.05,160.93,102.91,363.89,34141.49
76,260.98,99.58,161.4,102.42,363.41,33980.09
77,260.98,99.11,161.87,101.94,362.92,33818.21
78,260.98,98.64,162.35,101.45,362.44,33655.87
79,260.98,98.16,162.82,100.97,361.95,33493.05
80,260.98,97.69,163.29,100.48,361.46,33329.76
81,260.98,97.21,163.77,99.99,360.97,33165.99
82,260.98,96.73,164.25,99.5,360.48,33001.74
83,260.98,96.26,164.73,99.01,359.99,32837.01
84,260.98,95.77,165.21,98.51,359.49,32671.8
85,260.98,95.29,165.69,98.02,359.0,32506.12
86,260.98,94.81,166.17,97.52,358.5,32339.94
87,260.98,94.32,166.66,97.02,358.0,32173.29
88,260.98,93.84,167.14,96.52,357.5,32006.14
89,260.98,93.35,167.63,96.02,357.0,31838.51
90,260.98,92.86,168.12,95.52,356.5,31670.39
91,260.98,92.37,168.61,95.01,355.99,31501.78
92,260.98,91.88,169.1,94.51,355.49,31332.68
93,260.98,91.39,169.59,94.0,354.98,31163.09
94,260.98,90.89,170.09,93.49,354.47,30993.0
95,260.98,90.4,170.59,92.98,353.96,30822.41
96,260.98,89.9,171.08,92.47,353.45,30651.33
97,260.98,89.4,171.58,91.95,352.94,30479.75
98,260.98,88.9,172.08,91.44,352.42,30307.66
99,260.98,88.4,172.58,90.92,351.9,30135.08
100,260.98,87.89,173.09,90.41,351.39,29961.99
101,260.98,87.39,173.59,89.89,350.87,29788.4
102,260.98,86.88,174.1,89.37,350.35,29614.3
103,260.98,86.38,174.61,88.84,349.82,29439.69
104,260.98,85.87,175.12,88.32,349.3,29264.58
105,260.98,85.36,175.63,87.79,348.78,29088.95
106,260.98,84.84,176.14,87.27,348.25,28912.81
107,260.98,84.33,176.65,86.74,347.72,28736.16
108,260.98,83.81,177.17,86.21,347.19,28558.99
109,260.98,83.3,177.68,85.68,346.66,28381.3
110,260.98,82.78,178.2,85.14,346.13,28203.1
111,260.98,82.26,178.72,84.61,345.59,28024.38
112,260.98,81.74,179.24,84.07,345.06,27845.13
113,260.98,81.21,179.77,83.54,344.52,27665.37
114,260.98,80.69,180.29,83.0,343.98,27485.08
115,260.98,80.16,180.82,82.46,343.44,27304.26
